gubun,gubun_1,gubun_2,question,answer,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,전문선수의 대회참가 제한사항을 말하시오.,세계연맹에서 인정하지 않는 단체가 주최하는 대회에 참가한다면 국제 대회에 참가할수 없으며 선수활동 제한을 받는다.,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,지도자 등록 자격은 무엇인가?,"문체부가 발행한 체육지도자 자격증, 교육부가 발행한 정교사 자격증을 가진자가 매년 등록해야 함",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,심판 등록 방법은 무엇인가?,"심판 자격 획득, 등록 시스템 신청, 협회 승인 완료 (매년 해야함)",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,선수의 등록사항에 대하여 말하시오.,"운동경기부, 스포츠클럽, 체육동호인부 등의 소속을 가지고 매년 협회에 등록해야 선수로 활동 가능",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 규정의 전문 선수와 동호인 선수를 설명하시오.,"전문선수는 협회 전문선수 활동을 목적으로 등록한 자, 동호인선수는 협회 생활체육선수 활동을 목적으로 등록한 자",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,대한보디빌딩협회에 등록된 선수의 제한은 무엇인가?,대보협에서 인정한 대회만 출전 가능(인정하지 않는 단체 대회 출전 불가),,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,대한보디빌딩협회에서 받아야 할 교육은 무엇인가?,"인성교육, 성폭력교육, 도핑예방교육, 리더십교육",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,"선수, 지도자 등록 방법을 설명하시오.","등록 시스템 신청, 신청서 및 스포츠인권서약서 등을 시/도지부에 제출, 시/도지부 승인, 협회승인",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,지도자의 등록 결격사유에 대해 설명하시오.,"피성년후견인, 금고 이상 실형의 집행이 끝난 후 5년이 미경과한 자, 금고 이상의 형의 집행 유예가 끝난후 2년이 미경과한 자, 미성년자에 대한 성폭행 범죄로 형이 확정된 자, 승부조작에 가담하여 벌금이상 형이 확정된 자",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록지 변경 방법에 대해서 설명하시오.,"등록 변경을 해야하며, 이적동의서를 협회에 제출해야한다.",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑이란?,운동능력을 향상시키려고 선수에게 금지약물을 투여하여 도핑방지 규정을 위반하는 것,,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑 금지약물을 말해보시오.,"아나볼릭 스테로이드, 호르몬제, 에페드린, 코카인",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑방지규정 위반시 징계는 어떻게 되는가?,"메달, 점수, 상금 몰수 / 경기 결과 실효 / 웹페이지에 실명 1년 이상 일반인 공개 / 과징금 부여 (영구 자격 정지는 과징금 부여 안됨)",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑시 과징금은 어떻게 되는가?,"일반부는 1차 위반시 400, 2차 위반시 1000, 3차 위반시 1500이나 학생부의 경우 1,2차 위반시에는 일반부의 절반인 200, 500 이다. 다만 학생부도 3차 위반시에는 동일하게 1500이다. 단 전국체전에서 위반하면 일반부 학생부 동일하게 1차 위반시 1000, 2차 위반시 1500, 3차 위반시 2500이다.",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,전국체전 기간에 도핑시 코치 징계는 어떻게 되는가?,"첫번째 위반시 200만원 및 자격정지, 두번째 위반시 400만원 및 자격 정지, 세번째 위반시 퇴출",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,전국 체전 기간에 도핑시 감독 징계는 어떻게 되는가?,"1차 위반시 벌금 400만원 및 자격 정지, 2차 위반시 벌금 800만원 및 자격정지, 3차 위반시 퇴출",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑방지규정 위반 사항 중 3개를 설명하시오.,"시료에 금지약물 존재/선수가 금지약물 또는 금지방법 사용,사용시도/시료채취 회피, 거부하거나 채취 실패/소재지정보 제출 불이행/도핑관리 과정 중 부정행위하거나 부정거래 시도/선수에게 금지약물,금지방법 투여, 투여시도/공모, 공모시도/금지된 선수, 지원요원과 연루/선수,관계자의 제보저지, 보복",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑 관리 11단계를 설명하시오.,"검사 대상자 선정/대상선수 통지/도핑관리실로 이동/시료채취용품 제공/시료 제공/시료양 확인, 소변 90ml/시료 나눠담기/시료 봉인/비중 측정/도핑검사서 작성/시료 분석",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑위반시 자격정지 시작기간을 설명하세요.,한국도핑방지위원회에서 자격정지기간이 부과된 날부터 시작,,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑 금지 약물 기준에 대해 설명하세요.,선수의 경기력을 향상시키거나 경기력을 향상시키는 잠재력을 가지고 있는 경우/선수의 건강에 실제적 또는 잠재적인 위험이 되는 경우/스포츠 정신에 위배되는 경우,,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,의도하지 않는 도핑은 무엇인가?,부주의 또는 실수로 선수 자신도 모르게 섭취한 금지 약물이 도핑 테스트 결과에 검출된 경우,,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,치료목적사용면책(TUE)이랑 무엇인가?,선수가 질병치료나 부상회복을 위해 금지약물을 사용해야하는 경우 TUE 신청서를 제출하여 승인 후 사용 가능한 것,,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑과 관련된 치료목적사용면책(TUE)사유를 설명하시오.,선수가 건강상 심각한 손상을 입는 경우/선수의 건강회복 이외의 추가적인 경기력 향상 효과를 주지 않는 경우/금지 약물 사용외에 다른 합당한 대체 치료가 없는 경우,,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,치료목적사용면책(TUE) 제출 서류는 무엇인가?,"TUE 신청서, 진단서,처방서,각종 의료자료",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,치료목적사용면책(TUE)을 언제까지 신청해야 하는가?,"경기 참가 30일전까지 TUE 신청해야함, 다만 응급상황인 경우 사후 TUE 신청가능하나 불승인 될 수도 있음",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑관련업무를 주관하는 한국 기관은?,"한국도핑방지위원회, KADA(korea anti doping agency)",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑관련업무를 주관하는 국제 기관은?,"세계도핑방지기구, WADA(world anti doping agency)",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,도핑 검사에서 치료목적사용면책(TUE)을 사용하는 방법은?,"도핑검사서에 복용 약물 기재하고 TUE 승인 여부를 명시한다음, 도핑검사관에게 TUE 판정서 제시",,,,,,,,,,
규정,협회최신규정,도핑 방지 규정,치료목적사용면책(TUE) 절차를 설명하시오.,TUE 신청서 다운로드 / 담당 의사에게 의뢰해 신청서 작성 / 도핑방지기구에 제출 / 위촉 전문가 3명이 신청서 검토 / 사용가능여부 통보,,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판위원회 설치 목적을 설명하시오.,"심판이 스포츠 기본 정신과 책임감을 갖고 경기 규칙에 따라 공정하게 직무를 수행할 수 있도록 심판에 관한 사항을 자문하여, 경기 진행의 공정성을 높이는데 그 목적이 있다.",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판 등급과 등급별 심사 범위를 설명하시오.,"국제 심판은 세계연맹 심판 자격 취득자로서 국제대회, 전국대회 심판 가능, 국내 심판 1급은 전국 대회, 지역대회 심판 가능, 국내 심판 2급은 지역대회 심판 가능",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판 판정의 의무를 설명하시오.,"외부로부터 독립하여 공정한 업무를 수행/심판규정을 준수하고, 규칙에 따라 명확한 판정을 해야함/판정에서 공명정대하게 양심에 따라 판정해야 함",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판의 주의사항을 설명하시오.,"다른 심판과 이야기하면 안됨/심사하는 동안 사진촬영, 알콜이 있는 음료 섭취 불가/참가선수 지도불가/다른 심판의 결정에 의도적인 영향 행사하면 안됨",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판 징계사항을 설명하시오.,"명백한 오심, 사회적 물의, 심판 품위 손상으로 징계 사유에 해당되면 스포츠공정위원회 규정에 따라 처리됨/오심 누적시 심판자격이 강등되고, 오심 횟수에 따라 심판자격 박탈도 가능",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판 자격취득의 제한에 대하여 말해보시오.,선수로 등록한 자/선수활동 중 도핑으로 제재받은 사람은 징계 만료 후 5년 미만인 자/ 영구제명 당한 선수,,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판 배정에 제외되는 경우에 대해서 설명하시오.,"심판 업무와 관련한 심판 위원장의 정당한 지시에 불응한 자/심판 회의 및 교육에 지각,불참한자/점수관련 다른심판에게 항의한 자/심판 복장이 규정에 맞지 않는자/점수 관련하여 고의,담합으로 오심을 범한자",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판자격을 유지하거나 부활하는 방법에 대해 설명하세요.,"자격 유지를 희망하는 심판은 취득 후 4년에 한번씩 재교육 받아야 함/재교육 받지 않아 자격을 상실한 심판은 강습비 납부,재교육을 통해 자격 재취득 가능/징계로 인해 자격이 정지된 심판은 징계 해제 후 3년이 지난 후 재교육을 통해 2급 심판 자격 획득 가능",,,,,,,,,,
규정,협회최신규정,심판 위원회 규정,심판의 품위에 대하여 설명하시오.,심판은 협회에서 규정한 복장과 장비만 사용하여야 하고 협회에서 발급한 신분증서를 패용해야 하며 필요한 상해보험에 가입해야 함,,,,,,,,,,
규정,종목소개,전 종목 공통,컬러링 규정에 대해서 설명하시오.,"탄 등의 인공 피부약의 사용은 가능하나, 대회 24시간 전에 사용해야 합니다. 광택, 광채가 나는 펄이나 황금빛의 사용은 금지됩니다. 바디오일의 사용은 가능하나, 과도한 사용은 금지됩니다.",,,,,,,,,,
규정,종목소개,남자 종목 공통,대회 실격 사항에 대해서 설명하시오.,"선수의 해부학적 구조가 피지크 스포츠에서 허용되는 신체조건의 기준과 현저하게 다른 예외적인 경우(부풀어 오른배, 부자연스러운 근육 형태, 여성형 유방, 과도한 체지방 수치)",,,,,,,,,,
규정,종목소개,보디빌딩,보디빌딩 대회 시상식에서 실격되는 경우,1. 기념촬영을 끝내지 않고 퇴장하는 경우  2. 시상식 끝나기 전에 자신의 순위에 불만을 드러낼 경우,,,,,,,,,,
규정,종목소개,보디빌딩,남자 보디빌딩 복장 규정에 대해서 설명하시오.,"측면 폭 최소 1cm 이상, 전면 둔부의 ¾ 이상을 가리는 깔끔한 단색의 트렁크를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다",,,,,,,,,,
규정,종목소개,보디빌딩,남자 보디빌딩 경기 진행 방식을 설명하시오.,예선라운드에서는 4개의 규정포즈를 취합니다. 예선 1라운드에서는 4개의 규정포즈 및 7개의 규정포즈를 비교심사합니다. 결선 2라운드에서는 7개의 규정포즈 및 선수별 포즈다운을 실시합니다. 결선 3라운드에서는 개인별 자유포즈를 60초간 심사합니다.,,,,,,,,,,
규정,종목소개,보디빌딩,남자 보디빌딩/클래식 보디빌딩/클래식 피지크 평가 기준을 설명하시오.,"전체적인 체격의 비율과 대칭 / 근육 크기와 우수성(조밀도,분리도,선명도) / 탄력있는 피부와 건강해 보이는 피부톤 / 무대위에서 자신감 있게 표현하는 능력",,,,,,,,,,
규정,종목소개,보디빌딩,남자 보디빌딩/클래식 보디빌딩/클래식 피지크 감점 요인을 설명하시오.,"수술자국이나 흉터, 반점, 여드름, 문신이 없는 깔끔한 피부의 소유자인지 확인 / 머리 모양이 단정하고 발과 발가락 형태가 바람직한지 확인",,,,,,,,,,
규정,종목소개,클래식 보디빌딩,클래식 보디빌딩 복장 규정에 대해서 설명하시오.,"측면 폭 최소 1.5cm이상, 전면 둔부 전체를 가리는 체조용 반바지를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다",,,,,,,,,,
규정,종목소개,클래식 보디빌딩,남자클래식 보디빌딩 경기 진행 방식을 설명하시오.,"예선라운드에서는 4개의 규정포즈를 취합니다. 예선 1라운드에서는 4개의 규정포즈 및 7개의 규정포즈를 비교심사합니다. 결선 2라운드에서는 7개의 규정포즈 및 쿼터턴을 비교심사하고, 포즈다운을 실시합니다.결선 3라운드에서는 선수별 자유포즈를 60초간 심사합니다.",,,,,,,,,,
규정,종목소개,남자 피지크,남자 피지크 복장 규정에 대해서 설명하시오.,슬개골까지 내려오고 전면 둔부 전체를 가리는 루즈핏 보드 반바지를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다,,,,,,,,,,
규정,종목소개,남자 피지크,남자 피지크 경기 진행 방식을 설명하시오.,"예선라운드에서는 쿼터턴을 실시합니다. 예선 1라운드에서는 쿼터턴 및 쿼터턴을 비교심사합니다.결선 2라운드에서는 쿼터턴을 2회 실시합니다. 첫번째 쿼터턴은 시계방향, 두번째는반시계방향으로 진행합니다.",,,,,,,,,,
규정,종목소개,남자 피지크,남자 피지크 평가 기준을 설명하시오.,"전체적인 체격의 비율과 대칭 / 근육 크기와 우수성(조밀도,분리도,선명도) / 탄력있는 피부와 건강해 보이는 피부톤 / 자신감/우아함으로 자신을 표현하는 능력/ 보디 빌딩보다 더 부드럽고 매끄러운 모습",,,,,,,,,,
규정,종목소개,남자 피지크,남자 피지크 감점 요인을 설명하시오.,"지나치게 근육질이거나 지나치게 체지방을 제거한 상태 / 피부가 탄력이 없어 건조해보이는 경우/ 깊은 근육 분리도, 줄무늬가 보이는 경우",,,,,,,,,,
규정,종목소개,클래식 피지크,남자 클래식 피지크 복장 규정에 대해서 설명하시오.,"측면 폭 최소 1.5cm이상, 전면 둔부 전체를 가리는 체조용 반바지를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다",,,,,,,,,,
규정,종목소개,클래식 피지크,남자 클래식 피지크 경기 진행 방식을 설명하시오.,예선라운드에서는 4개의 규정포즈를 취합니다. 예선 1라운드에서는 4개의 규정포즈 및 7개의 규정포즈를 비교심사합니다. 결선 2라운드에서는 7개의 규정포즈 및 선수별 포즈다운을 실시합니다. 결선 3라운드에서는 개인별 자유포즈를 60초간 심사합니다.,,,,,,,,,,
규정,종목소개,여자 피지크,여자 피지크 복장 규정에 대해서 설명하시오.,"복부와 등 하부가 보이고, 둔부의 ½을 가리는 무늬가 없는 단색의 비키니를 착용합니다.결혼반지, 팔찌, 귀걸이 이외의 액세서리류 착용은 금지됩니다. 신발 착용 금지입니다.",,,,,,,,,,
규정,종목소개,여자 피지크,여자 피지크 경기 진행 방식을 설명하시오.,"예선라운드에서는 4개의 규정포즈를 실시합니다. 예선 1라운드에서는 4개의 규정포즈 및 쿼터턴을 비교심사합니다. 결선 2라운드에서는 4개의 규정포즈, 쿼터턴을 비교심사하고, 선수별 포즈다운을 실시합니다. 결선 3라운드에서는 선수별 자유포즈를 60초간 심사합니다.",,,,,,,,,,
규정,종목소개,여자 피지크,여자 피지크 평가 기준을 설명하시오.,"근육의 전반적인 발달 평가/근육 형태와 조밀도,선명도 평가 / 피부 및 피부색의 상태 등을 평가 / 얼마나 자신을 자신감 있게 표현하는지에 대해 평가",,,,,,,,,,
규정,종목소개,보디 피트니스,여자 보디 피트니스 복장 규정에 대해서 설명하시오.,"복부와 등 하부가 보이고, 둔부의 ½을 가리는 무늬가 없는 단색의 비키니를 착용합니다. 결혼반지, 팔찌, 귀걸이 이외의 액세서리류 착용은 금지됩니다 구두는 앞굽 1cm, 뒷굽 12cm까지만 허용됩니다.",,,,,,,,,,
규정,종목소개,보디 피트니스,여자 보디 피트니스 경기 진행 방식을 설명하시오.,"예선라운드에서는 쿼터턴을 실시합니다. 예선 1라운드에서는 쿼터턴 및 쿼터턴을 비교심사합니다. 결선 2라운드에서는 쿼터턴(1회), L워킹을 실시합니다.",,,,,,,,,,
규정,종목소개,보디 피트니스,여자 보디 피트니스 평가 기준을 설명하시오.,근육의 전반적인 발달과 대칭 평가/ 피부 및 피부색의 상태 등을 평가 / 얼마나 자신을 우아하고 자신감 있게 표현하는지에 대해 평가 / 지방이 적고 단단하며 둥근 형태의 근육,,,,,,,,,,
규정,종목소개,비키니 피트니스,여자 비키니 피트니스 복장 규정에 대해서 설명하시오.,"복부와 등 하부가 보이고, 최소 둔부 1/3을 가리는 민무늬 비키니를 착용합니다. 팔찌, 귀걸이, 결혼반지 이외의 액세서리류는 금지입니다. 구두는 앞굽 1cm, 뒷굽 12cm까지만 허용됩니다.",,,,,,,,,,
규정,종목소개,비키니 피트니스,여자 비키니 피트니스 경기 진행 방식을 설명하시오.,"예선라운드에서는 쿼터턴을 실시합니다. 예선 1라운드에서는 쿼터턴 및 쿼터턴을 비교심사합니다. 결선 2라운드에서는 쿼터턴(2회), L워킹을 실시합니다.",,,,,,,,,,
규정,종목소개,비키니 피트니스,여자 비키니 피트니스 평가 기준을 설명하시오.,근육의 전반적인 발달과 대칭 평가/ 피부 및 피부색의 상태 등을 평가 / 얼마나 자신을 우아하고 자신감 있게 표현하는지에 대해 평가 / 보디 피트니스보다 더 부드럽고 매끄러운 모습,,,,,,,,,,
규정,종목소개,여자 종목 공통,여자 대회 공통 감점 요인을 설명하시오.,잘못된 자세를 취한 경우 / 셀룰라이트가 보이는 경우 / 근육이 너무 많은 경우 또는 너무 마른 경우 / 피부가 탄력이 없어 건조해보이는 경우,,,,,,,,,,
규정,종목소개,여자 종목 공통,I-walking 이란 무엇인지 설명하시오.,"무대 중앙으로 걸어가서 정지하고 자신이 선택한 4가지 각기 다른 포즈를 수행함, 포즈를 끝낸 후 무대 뒤쪽의 라인업 위치로 걸어가는 것",,,,,,,,,,
규정,종목소개,여자 종목 공통,I-walking 평가법을 설명하시오.,"선수들이 동작 속에서 피지크를 얼마나 잘 선보이는지 무대 위에서의 선수들의 이동이 얼마나 우아한지에 대해 평가 (우아함, 몸짓, 쇼맨십, 개성, 카리스마, 매력 등이 평가에 영향을 미치는 요소)",,,,,,,,,,
규정,스포츠 인권,스포츠 폭력,스포츠 폭력 이란?,"스포츠인이 다른 스포츠인에게 행하는 모든 신체적, 언어적, 정신적 폭력을 의미합니다.",,,,,,,,,,
규정,스포츠 인권,스포츠 폭력,스포츠 폭력의 예방법에 대해 설명하시오,"폭력 예방 정책을 수립하고, 대상별 행동 규범을 마련하며 예방교육을 실시합니다. 지도자 자격을 검증하고 신고절차와 대응체계를 마련하며 잘 시행되고 있는지 모니터링하고 평가합니다.",,,,,,,,,,
규정,스포츠 인권,스포츠 폭력,스포츠 폭력이 일어난 후의 대처 방안에 대해 설명하시오.,"피해자와 가해자를 최대한 분리한다 / 병원에 데려가 증거를 확보하고 치료한다 / 수사기관과 스포츠윤리센터에 신고한다 / 가해자 처벌 진행 / 처벌 후에도 피해자가 심리적, 신체적 고통을 호소한다면 병원과 상담전문가의 도움을 받는다.",,,,,,,,,,
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력 이란?,"스포츠인이 다른 스포츠인에게 행하는 모든 성적 자기결정권을 침해하는 행위를 말합니다.  성폭행, 성추행, 성희롱, 강제 추행 등이 이에 해당합니다.",,,,,,,,,,
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력의 예방법에 대해 설명하시오,"성폭력 예방 정책을 수립하고, 대상별 행동 규범을 마련하며 예방교육을 실시합니다. 지도자 자격을 검증하고 신고절차와 대응체계를 마련하며 잘 시행되고 있는지 모니터링하고 평가합니다. 여성지도자를 양성하고 지원합니다.",,,,,,,,,,
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력이 일어난 후의 대처 방안에 대해 설명하시오.,"즉시 피해자를 보호조치한다 / 병원에 데려가 증거를 확보하고 치료한다 / 수사기관과 스포츠윤리센터에 신고한다 / 가해자 처벌 진행 / 처벌 후에도 피해자가 심리적, 신체적 고통을 호소한다면 병원과 상담전문가의 도움을 받는다.",,,,,,,,,,
규정,생활체육 개요,생활체육의 이해,생활체육의 정의에 대해서 설명하시오.,"일상적인 생활에서 여가 시간을 활용하여 나이, 성별, 지위에 관계없이 모든 사회 구성원이 즐길 수 있는 체육활동을 말한다.",,,,,,,,,,
규정,생활체육 개요,생활체육의 이해,생활체육의 목적/의의/필요성/역할/본질에 대해서 설명하시오.,건강유지와 체력증진 / 즐거움을 통한 여가선용 /신체 정신 사회적 건강의 조화로운 발달 / 공동체의식 형성 / 협동심과 책임감 배양,,,,,,,,,,
규정,생활체육 개요,생활체육의 이해,생활체육의 목표에 대해서 설명하시오.,내용의 다양화 / 환경의 복지화 / 방법의 합리화 / 활동의 생활화,,,,,,,,,,
규정,생활체육 개요,생활체육의 이해,생활체육 기능을 설명하시오.,사회적 기능- 더불어 보디빌딩을 수행하며 사회성을 발달시킨다./생리적 기능- 육체의 대사기능 등 생리활동을 활성화시키는데 기여한다./심리적 기능- 정신적 안정과 심리적인 편안함을 불러오는 데 도움을 준다.,,,,,,,,,,
규정,생활체육 개요,생활체육의 이해,생활체육의 구성 요소를 설명하시오.,생활 체육 시설/프로그램/지도자,,,,,,,,,,
규정,생활체육 개요,생활체육의 이해,생활체육의 원리를 설명하시오.,"평가성, 창조성, 목적성, 개별성, 자발성",,,,,,,,,,
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 개념을 설명하시오.,"근력, 체력 증대, 여가선용등을 목적으로 여가시간에 자발적으로 행하는 생활체육 프로그램을 의미한다.",,,,,,,,,,
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 기획 단계(계획 과정)에 대해서 설명하시오.,"협회의 목적과 철학 이해, 참가자의 욕구 조사, 프로그램 목표 설정, 구체적인 프로그램 계획 설정, 프로그램 실행/평가/보안",,,,,,,,,,
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 구성 원리에 대해서 설명하시오.,"평등성, 창의성, 욕구반영성, 전문성, 다양성, 보편성, 편의성, 평가성, 전달성",,,,,,,,,,
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 구성 요소에 대해서 설명하시오.,"참가자, 지도자, 장소/시설, 재정, 활동 종목, 활동 안정성, 홍보",,,,,,,,,,
규정,생활체육 개요,생활체육 프로그램,연령대별 생활체육 프로그램에 대해서 설명하시오.,"유아기 - 인지기능 발달, 놀이 중심의 체육활동 / 아동기 - 사회성 발달, 다양한 체육활동 경험 제공 / 청소년기 - 2차 성징 발현기, 평생체육의 기틀 마련 / 성인기 - 신체 정신적 성숙기, 유산소와 저항운동의 조화 / 노년기 - 신체 정신적 노화 발현. 활동형 레크리에이션 권장",,,,,,,,,,
규정,생활체육 개요,생활 체육 지도,생활체육 지도의 원리에 대해서 설명하시오.,"개인차 고려, 자발적 참가, 다양한 정보 제공, 필요한 지식 전달, 과학적이고 쳬계적인 방법",,,,,,,,,,
규정,생활체육 개요,생활 체육 지도,생활체육 지도의 목표에 대해서 설명하시오.,"신체적 - 건강 증진/운동 기술 습득, 정신적- 건전한 품성 개발, 삶의 즐거움 추구 사회적- 사회적 관계 개선, 사회적 안정 도모",,,,,,,,,,
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 개념/역할을 설명하시오.,"생활체육 목표설정, 효율적인 지도방법 개발, 운동 지도, 안전사고 유의, 법적 업무, 예산과 인사관리",,,,,,,,,,
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 자질을 설명하시오.,의사 전달 능력이있어야 하고 투철한 사명감이 있어야 하며 활달하고 강인한 성격이어야 한다. 또한 도덕적 품성을 갖추어야 하고 칭찬을 자주 해주며 공정성을 가진 자여야 한다.,,,,,,,,,,
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 유의사항을 설명하시오.,개인참가자 개인차를 고려해야 하고 복장에 유의하여야 하며 약속 시간을 엄수해야 한다. 또한 정확한 정보 전달을 해주어야 하고 각각의 참가자들에게 공정(공평)하게 대해야 한다.,,,,,,,,,,
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 기능을 설명하시오.,목표를 제시하고 목표 달성 방법을 제시하며 참가자들의 동기를 유발시켜야 한다. 또한 긍정적 분위기를 조성해야하며 동료의식이 강화되도록 지원해야 한다.,,,,,,,,,,
규정,생활체육 개요,생활 체육 종류,Sport for All에 대해서 설명하시오.,"모두를 위한 스포츠로, 성, 연령, 지위에 관계없이 모든 사람이 누구나 자유롭게 스포츠에 참가할 기회와 권리를 보장해주는 체육 개념",,,,,,,,,,
규정,생활체육 개요,생활 체육 종류,에어로빅 운동에 대해서 설명하시오.,"심폐 능력 향상, 체중 감량 등에 효과가 있는 유산소운동",,,,,,,,,,
규정,생활체육 개요,생활 체육 종류,웰니스 운동에 대해서 설명하시오.,"웰빙, 해피니스, 피트니스의 합성어로 신체적, 정신적, 사회적으로 균형잡힌 건강 상태를 유지하는 운동",,,,,,,,,,
