gubun,gubun_1,gubun_2,question,answer
규정,협회최신규정,선수 규정,경기인 규정의 전문 선수와 동호인 선수를 설명하시오.,"전문선수는 협회 전문선수 활동을 목적으로 등록한 자, 동호인선수는 협회 생활체육선수 활동을 목적으로 등록한 자"
규정,협회최신규정,선수 규정,체육 동호인부를 설명하시오.,생활 체육 활동을 목적으로 하는 선수로 구성된 운동부
규정,협회최신규정,선수 규정,운동 경기부와 직장 운동 경기부를 설명하시오.,"운동 경기부는 선수로 구성된 학교, 직장의 운동부, 직장 운동 경기부는 직장의 장이 선수와 근로 계약을 체결하여 운영하는 운동부"
규정,협회최신규정,선수 규정,전문선수의 대회참가 제한사항을 말하시오.,세계연맹에서 인정하지 않는 단체가 주최하는 대회에 참가한다면 국제 대회에 참가할수 없으며 선수활동 제한을 받는다.
규정,협회최신규정,선수 규정,전문 선수와 생활체육 선수의 선수활동 제한사항을 말하시오.,"당해연도 전문체육목적으로 등록한 사람은 전문체육 대회만, 생활체육목적으로 등록한 사람은 생활체육 대회만 참가 가능"
규정,협회최신규정,선수 규정,대한보디빌딩협회에 등록된 선수의 제한은 무엇인가?,대보협에서 인정한 대회만 출전 가능(인정하지 않는 단체 대회 출전 불가)
규정,협회최신규정,선수 규정,선수의 등록 결격사유를 설명하시오.,1. 학교폭력 방지 및 대책에 관한 법률에서 성폭력으로 퇴학의 징계를 받고 10년이 지나지 않은 경우 2. 학교폭력 방지 및 대책에 관한 법률에서 퇴학 처분을 받고 5년이 지나지 않은 경우 3. 승부 조작 또는 도핑이 적발되어 유죄 판결을 받은 경우 4. 체육회 관련 단체에서 제명의 징계를 받은 경우 5. 체육회 관련 단체에서 해임 징계를 받고 10년이 지나지 않은 경우 6. 자격정지 징계를 받고 정지기간중에 있는 경우
규정,협회최신규정,선수 규정,대학부 선수 등록 규정을 설명하시오.,"대학생이 대학부 선수에 등록할 수 있다. 다만, 20세 이상의 대학생은 소속 단체와 목적에 따라서 생활체육 목적의 일반부에도 등록 가능하다"
규정,협회최신규정,지도자 규정,지도자 등록 자격은 무엇인가?,"문체부가 발행한 체육지도자 자격증, 교육부가 발행한 정교사 자격증을 가진자가 매년 등록해야 함"
규정,협회최신규정,지도자 규정,지도자의 등록 결격사유에 대해 설명하시오.,"피성년후견인, 금고 이상 실형의 집행이 끝난 후 5년이 미경과한 자, 금고 이상의 형의 집행 유예가 끝난후 2년이 미경과한 자, 미성년자에 대한 성폭행 범죄로 형이 확정된 자, 승부조작에 가담하여 벌금이상 형이 확정된 자"
규정,협회최신규정,도핑 방지 규정,도핑이란?,운동능력을 향상시키려고 선수에게 금지약물을 투여하여 도핑방지 규정을 위반하는 것
규정,협회최신규정,도핑 방지 규정,도핑 금지약물의 종류를 말해보시오.,"아나볼릭 스테로이드, 호르몬제, 에페드린, 코카인"
규정,협회최신규정,도핑 방지 규정,도핑 금지 약물 기준에 대해 설명하세요.,선수의 경기력을 향상시키거나 경기력을 향상시키는 잠재력을 가지고 있는 경우/선수의 건강에 실제적 또는 잠재적인 위험이 되는 경우/스포츠 정신에 위배되는 경우
규정,협회최신규정,도핑 방지 규정,도핑 관리 11단계를 설명하시오.,"검사 대상자 선정/대상선수 통지/도핑관리실로 이동/시료채취용품 제공/시료 제공/시료양 확인, 소변 90ml/시료 나눠담기/시료 봉인/비중 측정/도핑검사서 작성/시료 분석"
규정,협회최신규정,도핑 방지 규정,혈액으로 도핑검사 가능한가?,KADA에서 가능하다고 명시되어있다
규정,협회최신규정,도핑 방지 규정,도핑 진행 담당자의 역할 2가지이상 설명하시오.,"선수검사 프로그램 적극 참여, 금지약물 적발, 도핑 대상자 안내 , 검사절차 안내"
규정,협회최신규정,도핑 방지 규정,도핑검사 미통지 원칙에 대해 설명하시오,"선수가 도핑검사에 대비해 적발되지 않도록 준비해둘 수 있기 때문에 통지하지 않고 즉시 도핑검사를 진행한다. 경기기간 또는 경기기간 외에도 불시에 진행한다 경기장, 훈련장, 집 어디든 검사장소가 될 수 있다"
규정,협회최신규정,도핑 방지 규정,선수의 도핑 검사 의무에 대해 설명하시오.,1. 언제든 검사받을 수 있도록 준비해야 한다 2. 의료진에게 금지약물을 섭취하면 안 된다는 점을 사전고지한다3. 체내에 금지약물 또는 표지자가 유입되지 않도록 해야 한다 4. 도핑방지규정에 규정된 모든 규정을 숙지하고 준수해야 한다
규정,협회최신규정,도핑 방지 규정,의도하지 않는 도핑은 무엇인가?,부주의 또는 실수로 선수 자신도 모르게 섭취한 금지 약물이 도핑 테스트 결과에 검출된 경우
규정,협회최신규정,도핑 방지 규정,도핑방지규정 위반 사항 중 3개를 설명하시오.,"시료에 금지약물 존재/선수가 금지약물 또는 금지방법 사용,사용시도/시료채취 회피, 거부하거나 채취 실패/소재지정보 제출 불이행/도핑관리 과정 중 부정행위하거나 부정거래 시도/선수에게 금지약물,금지방법 투여, 투여시도/공모, 공모시도/금지된 선수, 지원요원과 연루/선수,관계자의 제보저지, 보복"
규정,협회최신규정,도핑 방지 규정,도핑방지규정 위반시 징계는 어떻게 되는가?,"메달, 점수, 상금 몰수 / 경기 결과 실효 / 웹페이지에 실명 1년 이상 일반인 공개 / 과징금 부여 (영구 자격 정지는 과징금 부여 안됨)"
규정,협회최신규정,도핑 방지 규정,도핑방지규정 위반시 과징금은 어떻게 되는가?,"일반부는 1차 위반시 400, 2차 위반시 1000, 3차 위반시 1500이나 학생부의 경우 1,2차 위반시에는 일반부의 절반인 200, 500 이다. 다만 학생부도 3차 위반시에는 동일하게 1500이다. 단 전국체전에서 위반하면 일반부 학생부 동일하게 1차 위반시 1000, 2차 위반시 1500, 3차 위반시 2500이다."
규정,협회최신규정,도핑 방지 규정,전국 체전 기간에 도핑시 코치 징계는 어떻게 되는가?,"첫번째 위반시 200만원 및 자격정지, 두번째 위반시 400만원 및 자격 정지, 세번째 위반시 퇴출"
규정,협회최신규정,도핑 방지 규정,전국 체전 기간에 도핑시 감독 징계는 어떻게 되는가?,"1차 위반시 벌금 400만원 및 자격 정지, 2차 위반시 벌금 800만원 및 자격정지, 3차 위반시 퇴출"
규정,협회최신규정,도핑 방지 규정,도핑위반시 자격정지 시작기간을 설명하세요.,한국도핑방지위원회(KADA)에서 정지 통보된 날로부터 1일
규정,협회최신규정,도핑 방지 규정,도핑관련업무를 주관하는 한국 기관은?,"한국도핑방지위원회, KADA(korea anti doping agency)"
규정,협회최신규정,도핑 방지 규정,도핑관련업무를 주관하는 국제 기관은?,"세계도핑방지기구, WADA(world anti doping agency)"
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE)이랑 무엇인가?,선수가 질병치료나 부상회복을 위해 금지약물을 사용해야하는 경우 TUE 신청서를 제출하여 승인 후 사용 가능한 것
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE) 사유(도핑 면책 사유)를 설명하시오.,선수가 건강상 심각한 손상을 입는 경우/선수의 건강회복 이외의 추가적인 경기력 향상 효과를 주지 않는 경우/금지 약물 사용외에 다른 합당한 대체 치료가 없는 경우
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE) 제출 서류는 무엇인가?,"TUE 신청서, 진단서,처방서,각종 의료자료"
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE)을 언제까지 신청해야 하는가?,"경기 참가 30일전까지 TUE 신청해야함, 다만 응급상황인 경우 사후 TUE 신청가능하나 불승인 될 수도 있음"
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE)을 도핑 검사에서  사용하는 방법은?,"도핑검사서에 복용 약물 기재하고 TUE 승인 여부를 명시한다음, 도핑검사관에게 TUE 판정서 제시"
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE) 절차를 설명하시오.,TUE 신청서 다운로드 / 담당 의사에게 의뢰해 신청서 작성 / 도핑방지기구에 제출 / 위촉 전문가 3명이 신청서 검토 / 사용가능여부 통보
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE) 신청시에 3명의 위촉 전문가를 설명하시오.,다양한 분야의 의사 전문의 학자
규정,협회최신규정,도핑 예외 규정,치료목적사용면책(TUE) 승인 기관은 어디인가?,"한국도핑방지위원회, KADA(korea anti doping agency)"
규정,협회최신규정,심판 위원회 규정,심판위원회 설치 목적을 설명하시오.,"심판이 스포츠 기본 정신과 책임감을 갖고 경기 규칙에 따라 공정하게 직무를 수행할 수 있도록 심판에 관한 사항을 자문하여, 경기 진행의 공정성을 높이는데 그 목적이 있다."
규정,협회최신규정,심판 위원회 규정,국내 심판의 자격 요건을 설명하시오.,"1급 
- 역대 미스터앤 미즈 대상 또는 협회 이사, 국가대표로 국제대회에서 금메달 수상
- 2급 심판 자격 취득 후 2년동안 지역 규모 대회에 2회 이상 참가하고 시도지부 또는 본 협회의 추천을 받은 사람

2급
- 보디빌딩에 상당한 경력을 보유하고
일정 기간 대회 운영 요원으로 활동한 사람 중 시도지부 또는 본 협회의 추천을 받은 사람입니다"
규정,협회최신규정,심판 위원회 규정,국제 심판의 자격 요건을 설명하시오.,"* 국내 1급 심판 자격증을 취득한 후 3년이 지나고
1. 전국 규모 대회에 5회 이상 참여하고, 시도지부나 협회의 추천을 받은 사람
2. 전국 규모 2회 + 지역 규모 5회 이상 참여하고, 시도지부나 협외의 추천을 받은 사람
3. 위 기준에 부합하지 않더라도, 심판위원회의 추천을 받은 경우

4. 1급 보유자 중특별한 사유에 의해 회장이 직접 추천한 경우"
규정,협회최신규정,심판 위원회 규정,심판 자격을 유지하거나 부활하는 방법에 대해 설명하세요.,"자격 유지를 희망하는 심판은 취득 후 4년에 한번씩 재교육 받아야 함/재교육 받지 않아 자격을 상실한 심판은 강습비 납부,재교육을 통해 자격 재취득 가능/징계로 인해 자격이 정지된 심판은 징계 해제 후 3년이 지난 후 재교육을 통해 2급 심판 자격 획득 가능"
규정,협회최신규정,심판 위원회 규정,심판 자격 취득의 제한에 대하여 말해보시오.,선수로 등록한 자/선수활동 중 도핑으로 제재받은 사람은 징계 만료 후 5년 미만인 자/ 영구제명 당한 선수
규정,협회최신규정,심판 위원회 규정,심판의 등급과 등급별 심사 범위를 설명하시오.,"국제 심판은 세계연맹 심판 자격 취득자로서 국제대회, 전국대회 심판 가능, 국내 심판 1급은 전국 대회, 지역대회 심판 가능, 국내 심판 2급은 지역대회 심판 가능"
규정,협회최신규정,심판 위원회 규정,심판의 품위를 설명하시오.,심판은 협회에서 규정한 복장과 장비만 사용하여야 하고 협회에서 발급한 신분증서를 패용해야 하며 필요한 상해보험에 가입해야 함
규정,협회최신규정,심판 위원회 규정,심판의 판정 의무를 설명하시오.,"외부로부터 독립하여 공정한 업무를 수행/심판규정을 준수하고, 규칙에 따라 명확한 판정을 해야함/판정에서 공명정대하게 양심에 따라 판정해야 함"
규정,협회최신규정,심판 위원회 규정,심판의 주의 사항을 설명하시오.,"다른 심판과 이야기하면 안됨/심사하는 동안 사진촬영, 알콜이 있는 음료 섭취 불가/참가선수 지도불가/다른 심판의 결정에 의도적인 영향 행사하면 안됨"
규정,협회최신규정,심판 위원회 규정,심판의 징계 사항을 설명하시오.,"명백한 오심, 사회적 물의, 심판 품위 손상으로 징계 사유에 해당되면 스포츠공정위원회 규정에 따라 처리됨/오심 누적시 심판자격이 강등되고, 오심 횟수에 따라 심판자격 박탈도 가능"
규정,협회최신규정,심판 위원회 규정,심판의 배정이 제외되는 경우에 대해서 설명하시오.,"심판 업무와 관련한 심판 위원장의 정당한 지시에 불응한 자/심판 회의 및 교육에 지각,불참한자/점수관련 다른심판에게 항의한 자/심판 복장이 규정에 맞지 않는자/점수 관련하여 고의,담합으로 오심을 범한자"
규정,스포츠 인권,스포츠 폭력,스포츠 폭력 이란?,"스포츠인이 다른 스포츠인에게 행하는 모든 신체적, 언어적, 정신적 폭력을 의미합니다."
규정,스포츠 인권,스포츠 폭력,스포츠 폭력의 예방법에 대해 설명하시오,"폭력 예방 정책을 수립하고, 대상별 행동 규범을 마련하며 예방교육을 실시합니다. 지도자 자격을 검증하고 신고절차와 대응체계를 마련하며 잘 시행되고 있는지 모니터링하고 평가합니다."
규정,스포츠 인권,스포츠 폭력,"학부모의 스포츠 폭력 예방,대처법에 대해 설명하시오.","1. 폭력의 묵인이 자녀에게 가장 큰 불이익이라는 것을 명심합니다. 2. 자녀의 고충과 불만을 잘 들어주고, 필요한 조치를 합니다 3. 지도자나 선수의 폭력을 묵인하지 않습니다 4. 감독, 스태프와 음주같은 부정당한 행위를 하지 않습니다 5. 자녀의 특별대우를 요구하지 않습니다"
규정,스포츠 인권,스포츠 폭력,지도자의 스포츠 폭력 예방법에 대해 설명하시오.,1. 무슨 일이 있어도 폭력은 행사하지 않는다 2. 대회 추천을 빌미로 협박하지 않는다 3. 훈련을 빌미로 선수가 감당하기 힘들 정도의 운동을 시키지 않는다 4. 선수의 명예를 훼손하는 언행은 하지 않는다 5. 합리적 이유 없이 선수를 집단에서 격리하지 않는다
규정,스포츠 인권,스포츠 폭력,스포츠 폭력이 일어난 후의 대처 방안에 대해 설명하시오.,"피해자와 가해자를 최대한 분리한다 / 병원에 데려가 증거를 확보하고 치료한다 / 수사기관과 스포츠윤리센터에 신고한다 / 가해자 처벌 진행 / 처벌 후에도 피해자가 심리적, 신체적 고통을 호소한다면 병원과 상담전문가의 도움을 받는다."
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력 이란?,"스포츠인이 다른 스포츠인에게 행하는 모든 성적 자기결정권을 침해하는 행위를 말합니다.  성폭행, 성추행, 성희롱, 강제 추행 등이 이에 해당합니다."
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력의 종류에 대해 설명하시오,"성희롱 - 말이나 행동으로 상대를 희롱하여 성적 굴욕감을 주는 것
성추행 - 자신의 성적 흥분을 위해 말이나 행동으로 상대를 추행하여 성적 수치심을 느끼게 하는 행위
강제추행 - 힘과 권력을 이용해 상대방을 강제로 추행하는 행위
성폭행 - 힘과 권력을 이용해 성관계를 요구하거나 실행하는 행위"
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력의 예방법에 대해 설명하시오,"성폭력 예방 정책을 수립하고, 대상별 행동 규범을 마련하며 예방교육을 실시합니다. 지도자 자격을 검증하고 신고절차와 대응체계를 마련하며 잘 시행되고 있는지 모니터링하고 평가합니다. 여성지도자를 양성하고 지원합니다."
규정,스포츠 인권,스포츠 성폭력,지도자의 성폭력 예방법에 대해 설명하시오.,"성적인 농담은 하지 않습니다. 상대방이 거부 의사를 밝히면 즉각 중단하고 사과합니다. 개인적인 만남을 요구하지 않습니다. 안마, 마사지를 요구하지 않습니다. 특정 신체부위를 빤히 바라보는 행동을 하지 않습니다."
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력이 일어난 후의 대처 방안에 대해 설명하시오.,"즉시 피해자를 보호조치한다 / 병원에 데려가 증거를 확보하고 치료한다 / 수사기관과 스포츠윤리센터에 신고한다 / 가해자 처벌 진행 / 처벌 후에도 피해자가 심리적, 신체적 고통을 호소한다면 병원과 상담전문가의 도움을 받는다."
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력 피해자의 대처법에 대해 설명하시오.,"1. 거부 의사를 확실하게 밝힙니다.
2. 가능하다면 가해자와 최대한 떨어지고, 분리된 공간에 있습니다.
3. 성폭행이라면 병원에 가서 치료와 함께 증거를 수집하고, 그 이외의 경우라면 증거만 수집합니다.
4. 스포츠인권센터와 수사기관에 신고하고, 보호자에게 도움을 요청
5. 수사 진행, 처벌받고 나서도 심리적, 신체적으로 고통받고 있다면 숨기지 않고 믿을 수 있는 주변 사람에게 도움을 요청합니다.
6. 병원, 심리 상담사의 도움을 받습니다."
규정,스포츠 인권,스포츠 성폭력,스포츠 성폭력 시 지도자의 처벌에 대해 설명하시오.,"성희롱, 성추행은 중대한 경우 5년 이상의 자격정지 또는 영구제명 / 그 외의 성폭력 시에는 영구제명"
규정,스포츠 인권,스포츠 성폭력,성인지감수성에 대해 설명하시오.,일상생활 내에서 성별의 차이로 인해 발생하는 모든 차별과 불평등에 대해 인지해내는 민감성을 의미합니다.
규정,스포츠 인권,스포츠 성폭력,성그루밍에 대해 설명하시오.,"가해자와 피해자가 오랜 기간동안 친밀감을 쌓아 피해자의 심리를 장악한 뒤, 피해자의 성적 자기결정권을 침해하는 것"
규정,종목소개,전 종목 공통,컬러링 규정에 대해서 설명하시오.,"탄 등의 인공 피부약의 사용은 가능하나, 대회 24시간 전에 사용해야 합니다. 광택, 광채가 나는 펄이나 황금빛의 사용은 금지됩니다. 바디오일의 사용은 가능하나, 과도한 사용은 금지됩니다."
규정,종목소개,전 종목 공통,2020년 올림픽 아젠다인 인권 강조 5가지를 설명하시오,1. 평등과 비차별 2. 생계 및 양질의 일자리 3. 발언의 자유  4. 안전과 복지  5. 사생활 보호
규정,종목소개,남자 종목 공통,대회 실격 사항에 대해서 설명하시오.,"선수의 해부학적 구조가 피지크 스포츠에서 허용되는 신체조건의 기준과 현저하게 다른 예외적인 경우(부풀어 오른배, 부자연스러운 근육 형태, 여성형 유방, 과도한 체지방 수치)"
규정,종목소개,보디빌딩,보디빌딩의 5대 요소를 설명하시오.,운동 휴식 영양 정신적 자세 피부색
규정,종목소개,보디빌딩,보디빌딩 대회 시상식에서 실격되는 경우,1. 기념촬영을 끝내지 않고 퇴장하는 경우  2. 시상식 끝나기 전에 자신의 순위에 불만을 드러낼 경우
규정,종목소개,보디빌딩,남자 보디빌딩 복장 규정에 대해서 설명하시오.,"측면 폭 최소 1cm 이상, 전면 둔부의 ¾ 이상을 가리는 깔끔한 단색의 트렁크를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다"
규정,종목소개,보디빌딩,남자 보디빌딩 경기 진행 방식을 설명하시오.,예선라운드에서는 4개의 규정포즈를 취합니다. 예선 1라운드에서는 4개의 규정포즈 및 7개의 규정포즈를 비교심사합니다. 결선 2라운드에서는 7개의 규정포즈 및 선수별 포즈다운을 실시합니다. 결선 3라운드에서는 개인별 자유포즈를 60초간 심사합니다.
규정,종목소개,보디빌딩,남자 보디빌딩/클래식 보디빌딩/클래식 피지크 평가 기준을 설명하시오.,"전체적인 체격의 비율과 대칭 / 근육 크기와 우수성(조밀도,분리도,선명도) / 탄력있는 피부와 건강해 보이는 피부톤 / 무대위에서 자신감 있게 표현하는 능력"
규정,종목소개,보디빌딩,남자 보디빌딩/클래식 보디빌딩/클래식 피지크 감점 요인을 설명하시오.,"수술자국이나 흉터, 반점, 여드름, 문신이 없는 깔끔한 피부의 소유자인지 확인 / 머리 모양이 단정하고 발과 발가락 형태가 바람직한지 확인"
규정,종목소개,클래식 보디빌딩,클래식 보디빌딩 복장 규정에 대해서 설명하시오.,"측면 폭 최소 1.5cm이상, 전면 둔부 전체를 가리는 체조용 반바지를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다"
규정,종목소개,클래식 보디빌딩,남자클래식 보디빌딩 경기 진행 방식을 설명하시오.,"예선라운드에서는 4개의 규정포즈를 취합니다. 예선 1라운드에서는 4개의 규정포즈 및 7개의 규정포즈를 비교심사합니다. 결선 2라운드에서는 7개의 규정포즈 및 쿼터턴을 비교심사하고, 포즈다운을 실시합니다.결선 3라운드에서는 선수별 자유포즈를 60초간 심사합니다."
규정,종목소개,남자 피지크,남자 피지크 복장 규정에 대해서 설명하시오.,슬개골까지 내려오고 전면 둔부 전체를 가리는 루즈핏 보드 반바지를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다
규정,종목소개,남자 피지크,남자 피지크 경기 진행 방식을 설명하시오.,"예선라운드에서는 쿼터턴을 실시합니다. 예선 1라운드에서는 쿼터턴 및 쿼터턴을 비교심사합니다.결선 2라운드에서는 쿼터턴을 2회 실시합니다. 첫번째 쿼터턴은 시계방향, 두번째는반시계방향으로 진행합니다."
규정,종목소개,남자 피지크,남자 피지크 평가 기준을 설명하시오.,"전체적인 체격의 비율과 대칭 / 근육 크기와 우수성(조밀도,분리도,선명도) / 탄력있는 피부와 건강해 보이는 피부톤 / 자신감/우아함으로 자신을 표현하는 능력/ 보디 빌딩보다 더 부드럽고 매끄러운 모습"
규정,종목소개,남자 피지크,남자 피지크 감점 요인을 설명하시오.,"지나치게 근육질이거나 지나치게 체지방을 제거한 상태 / 피부가 탄력이 없어 건조해보이는 경우/ 깊은 근육 분리도, 줄무늬가 보이는 경우"
규정,종목소개,클래식 피지크,남자 클래식 피지크 복장 규정에 대해서 설명하시오.,"측면 폭 최소 1.5cm이상, 전면 둔부 전체를 가리는 체조용 반바지를 착용합니다. 결혼반지 이외의 액세서리류 착용은 금지됩니다. 패딩의 사용 또한 금지됩니다"
규정,종목소개,클래식 피지크,남자 클래식 피지크 경기 진행 방식을 설명하시오.,예선라운드에서는 4개의 규정포즈를 취합니다. 예선 1라운드에서는 4개의 규정포즈 및 7개의 규정포즈를 비교심사합니다. 결선 2라운드에서는 7개의 규정포즈 및 선수별 포즈다운을 실시합니다. 결선 3라운드에서는 개인별 자유포즈를 60초간 심사합니다.
규정,종목소개,여자 피지크,여자 피지크 복장 규정에 대해서 설명하시오.,"복부와 등 하부가 보이고, 둔부의 ½을 가리는 무늬가 없는 단색의 비키니를 착용합니다.결혼반지, 팔찌, 귀걸이 이외의 액세서리류 착용은 금지됩니다. 신발 착용 금지입니다."
규정,종목소개,여자 피지크,여자 피지크 경기 진행 방식을 설명하시오.,"예선라운드에서는 4개의 규정포즈를 실시합니다. 예선 1라운드에서는 4개의 규정포즈 및 쿼터턴을 비교심사합니다. 결선 2라운드에서는 4개의 규정포즈, 쿼터턴을 비교심사하고, 선수별 포즈다운을 실시합니다. 결선 3라운드에서는 선수별 자유포즈를 60초간 심사합니다."
규정,종목소개,여자 피지크,여자 피지크 평가 기준을 설명하시오.,"근육의 전반적인 발달 평가/근육 형태와 조밀도,선명도 평가 / 피부 및 피부색의 상태 등을 평가 / 얼마나 자신을 자신감 있게 표현하는지에 대해 평가"
규정,종목소개,보디 피트니스,여자 보디 피트니스 복장 규정에 대해서 설명하시오.,"복부와 등 하부가 보이고, 둔부의 ½을 가리는 무늬가 없는 단색의 비키니를 착용합니다. 결혼반지, 팔찌, 귀걸이 이외의 액세서리류 착용은 금지됩니다 구두는 앞굽 1cm, 뒷굽 12cm까지만 허용됩니다."
규정,종목소개,보디 피트니스,여자 보디 피트니스 경기 진행 방식을 설명하시오.,"예선라운드에서는 쿼터턴을 실시합니다. 예선 1라운드에서는 쿼터턴 및 쿼터턴을 비교심사합니다. 결선 2라운드에서는 쿼터턴(1회), L워킹을 실시합니다."
규정,종목소개,보디 피트니스,여자 보디 피트니스 평가 기준을 설명하시오.,근육의 전반적인 발달과 대칭 평가/ 피부 및 피부색의 상태 등을 평가 / 얼마나 자신을 우아하고 자신감 있게 표현하는지에 대해 평가 / 지방이 적고 단단하며 둥근 형태의 근육
규정,종목소개,비키니 피트니스,여자 비키니 피트니스 복장 규정에 대해서 설명하시오.,"복부와 등 하부가 보이고, 최소 둔부 1/3을 가리는 민무늬 비키니를 착용합니다. 팔찌, 귀걸이, 결혼반지 이외의 액세서리류는 금지입니다. 구두는 앞굽 1cm, 뒷굽 12cm까지만 허용됩니다."
규정,종목소개,비키니 피트니스,여자 비키니 피트니스 경기 진행 방식을 설명하시오.,"예선라운드에서는 쿼터턴을 실시합니다. 예선 1라운드에서는 쿼터턴 및 쿼터턴을 비교심사합니다. 결선 2라운드에서는 쿼터턴(2회), L워킹을 실시합니다."
규정,종목소개,비키니 피트니스,여자 비키니 피트니스 평가 기준을 설명하시오.,근육의 전반적인 발달과 대칭 평가/ 피부 및 피부색의 상태 등을 평가 / 얼마나 자신을 우아하고 자신감 있게 표현하는지에 대해 평가 / 보디 피트니스보다 더 부드럽고 매끄러운 모습
규정,종목소개,여자 종목 공통,여자 대회 공통 감점 요인을 설명하시오.,잘못된 자세를 취한 경우 / 셀룰라이트가 보이는 경우 / 근육이 너무 많은 경우 또는 너무 마른 경우 / 피부가 탄력이 없어 건조해보이는 경우
규정,종목소개,여자 종목 공통,I-walking 이란 무엇인지 설명하시오.,"무대 중앙으로 걸어가서 정지하고 자신이 선택한 4가지 각기 다른 포즈를 수행함, 포즈를 끝낸 후 무대 뒤쪽의 라인업 위치로 걸어가는 것"
규정,종목소개,여자 종목 공통,I-walking 평가법을 설명하시오.,"선수들이 동작 속에서 피지크를 얼마나 잘 선보이는지 무대 위에서의 선수들의 이동이 얼마나 우아한지에 대해 평가 (우아함, 몸짓, 쇼맨십, 개성, 카리스마, 매력 등이 평가에 영향을 미치는 요소)"
규정,생활체육 개요,생활체육의 이해,생활체육의 정의에 대해서 설명하시오.,"일상적인 생활에서 여가 시간을 활용하여 나이, 성별, 지위에 관계없이 모든 사회 구성원이 즐길 수 있는 체육활동을 말한다."
규정,생활체육 개요,생활체육의 이해,생활체육의 목적/의의/필요성/역할/본질에 대해서 설명하시오.,건강유지와 체력증진 / 즐거움을 통한 여가선용 /신체 정신 사회적 건강의 조화로운 발달 / 공동체의식 형성 / 협동심과 책임감 배양
