gubun,gubun_1,question,answer
지도방법,웨이트트레이닝,사이드체스트 지도방법,"우측 또는 좌측 중 자신 있는 가슴 근육 쪽을 선택하여 연기한다. 한쪽 다리를 굽혀 다른 쪽 발 앞으로 착지시킨 후 가슴을 제치고 심판에게 보여지는 쪽 팔을 굽혀 상완이두근과 다리근육을 수축시켜 가슴근육, 상완이두근, 종아리 근육이 부각 될 수 있도록 한다."
지도방법,웨이트트레이닝,레그레이즈 지도방법,숨을 내쉬며 양발이 바닥과 90도를 이룰 때까지 올린 후 양 어깨와 등 상부를 바닥에 밀착시킨 상태로 발끝이 바닥에 닿지 않을 정도까지 천천히 내린 후 동작을 반복한다.
지도방법,웨이트트레이닝,여자 피지크종목 사이드 트라이셉스 지도방법,"선수는 왼팔 또는 오른팔 중 한쪽을 선택한다. 심판을 향해 왼쪽 또는 오른쪽 측면이 심판을 향하게 서서 심판을 바라보고 가슴은 바깥으로 복부는 안으로 집어넣은 상태로 두 팔을 등 뒤에 위치시키고 왼쪽 또는 오른쪽에 있는 손목을 오른쪽 또는 왼쪽 손으로 움켜잡는다. 왼쪽 또는 오른쪽의 팔꿈치, 손 및 손가락을 편 상태로 손바닥이 아래 지면과 평행이 되게 한다. 왼쪽 또는 오른쪽 무릎은 구부리지 않은 채로 다리를 곧게 펴서 발을 바닥에 내려놓으며 오른쪽 또는 왼쪽 무릎은 살짝 구부린다"
지도방법,웨이트트레이닝,프론트스쿼트 지도방법,바벨은 쇄골과 어깨로 지탱한 후 가슴과 팔꿈치를 들고 허리는 꼿꼿이 세우고 무릎이 발끝을 넘지 않게 시선은 정면을 주시하고 실시하도록 지도합니다.
지도방법,웨이트트레이닝,바벨컬 지도방법,바를 잡는 어깨너비 정도로 잡고 팔꿈치가 어깨 뒤로 빠지지 않게 고정한 후 바를 들어 올릴 때 호흡을 내쉽니다.
지도방법,웨이트트레이닝,남자사이드트라이셉스지도방법," 삼두근 수축 / 가슴의 모양을 보여주고 있는가 / 심판과 가까운 쪽 다리의 무릎을 구부린상태로 발을 지면 위에 두고, 다른 다리는 뒤로 뺀 채 무릎을 구부려 발가락으로 지탱하며 대퇴부와 비복근을 표현하고 있는가 / 전면·측면·후면 삼각근을 동시에 표현하고 있는가"
지도방법,웨이트트레이닝,레터럴레그레이즈 지도방법,덤벨을 오버그립으로 잡고 팔꿈치를 살짝 구부려준 뒤 허벅지 옆에 위치시킵니다.측면 삼각근의 힘을 이용해 덤벨을 어깨와 수평이 되도록 들어 올립니다.
지도방법,웨이트트레이닝,바벨로우 지도방법,허리는 곧게 펴고 엉덩이를 심하게 뒤로 빼지 않은 채로 무릎은 바를 내리면서 약간 구부립니다. 바를 올리는 동작 시 배 방향으로 올리고 등은 곧게 폅니다.
지도방법,웨이트트레이닝,앱도미널 앤타이 지도방법,복부와 허벅지 근육이 중요하게 심사되는 포즈 입니다. 선수는 두팔을 머리 뒤에 놓고 한쪽 발을 앞에 둡니다. 복부를 수축하며 근육을 수축하는 동시에 하체 전면 근육을 수축합니다.
지도방법,웨이트트레이닝,남자 프론트 렛 스프레드 지도방법,다리는 15CM 로 벌리고 대퇴사두 수축하고 손은 허리춤에 위치 시킨 뒤 광배를 힘껏 펼치고 전면근육 수축에 신경쓴다. 
지도방법,웨이트트레이닝,백 익스텐션 지도방법,매트에 배를 대고 누워 손등을 허리나 머리위로 쭉핀뒤 다리는 그대로펴 상체와 하체를 하늘로 살짝 들어올리며 척추기립근을 수축하며 호흡을 뱉고 다시내려가며 호흡을 들이마신다
지도방법,웨이트트레이닝,상완이두 단련 운동 3가지,바벨 컬 덤벨 컬 해머 컬
지도방법,웨이트트레이닝,여자 백더블트라이셉스 지도방법,뒤돌아서 한쪽다리를 심판방향으로 뻣어주고 발끝으로 지탱합니다.체스트업 하여 두팔을 어깨높이까지 올려주고 구부려서 상완이두근에 힘을 줍니다.등에 힘을주기 위해 허리를 꺽어줄수도 있습니다. 손가락은 하늘로 향하게 우아하게 펴줍니다 머리끝부터 발끝까지 근육을 수축해줍니다.
지도방법,웨이트트레이닝,복직근운동 4가지,"플랭크, 싯업, 브이업, 시티드니업, 레그레이즈"
지도방법,웨이트트레이닝,하체근육 3개 ,"대퇴직근, 외측광근, 내측광근, 중간광근, 대퇴이두, 대퇴사두, 반건양근, 슬굴곡근, 가자미근, 비복근"
지도방법,웨이트트레이닝,FITT에 대해 설명,"FITT는 Frequency(운동 빈도), lntensity(강도), Time(시간), Type (종류)를 앞글자를 따온 운동법입니다."
지도방법,웨이트트레이닝,파워(power)란? ,단위시간동안에 측정된 에너지의 양 (또는 낼 수 있는 에너지의 양)
지도방법,웨이트트레이닝,파워존이란?,"파워존은 요추, 골반, 고관절에 붙어있는 복합적인 근육을 의미하며 스쿼트, 데드리프트로 파워존을 강화할 수 있다. "
지도방법,웨이트트레이닝,광배근 발달시키는 운동 4가지,풀업 랫풀다운 바벨로우 원암덤벨로우
지도방법,웨이트트레이닝,SET와 REP,Set - Rep이 묶인것/Rep - Set 안의 반복횟수
지도방법,웨이트트레이닝,척추기립근 3가지운동,백익스텐션 데드리프트  굿모닝 엑서사이즈
지도방법,웨이트트레이닝,체력을 구성하는 요소 4가지,"심폐지구력, 근력, 근지구력, 유연성"
지도방법,웨이트트레이닝,신체에서 가장 큰 근육 3가지와 운동,대흉근 대퇴근 대둔근/벤치프레스 스쿼트 덩키킥
지도방법,웨이트트레이닝,데피니션과 세퍼레이션,"근육의 선명도, 근육의 분리도"
지도방법,응급처치,AED 사용법,"전원켜기, 패드 가슴에부착(오른쪽 쇄골아래, 왼쪽유두아래 겨드랑이선), 심전도 리듬분석, 심장충격을 주고 이후 가슴압박을 계속합니다."
지도방법,응급처치,심폐소생술 가슴이완 확인이유,가슴을 이완시켜 흉부 압박시 보다 많은 혈액을 순환시키기 위함입니다
지도방법,응급처치,응급처치유형,"응급처치유형으로는 상태에 따라 하임리히법, 심폐소생술, RICES 등이 있습니다"
지도방법,응급처치,제세동기 필요없다고 할시 최초수용자가 해야할것,필요 없다는 안내 이후에 환자상태를 확인하고 심폐소생술을 계속 하라는 음성안내가 나오는데 지시에 따라 구조대가 오기 전까지 심폐소생술을 지속한다.
지도방법,응급처치,심폐소생술,"상태를 확인 후 119 신고 후 AED 부탁을 합니다. 기도 확보 및 흉부압박 30회 실시(5~6센치 압박되도록 분당 100~120회), 인공호흡 2회 실시, AED 실시 후 반복한다."
지도방법,응급처치,심폐소생술 시 전기충격 시 주의사항,"물이 묻진 않았는지, 주변에 사람이 있는지 체크해야합니다"
지도방법,응급처치,출혈시 응급처치방법,"내출혈시 환자를 눕힌 후,다리를 올려 보온을 하고, 상태를 체크합니다.외출혈시 상처부위 소독 후 압박을 진행하고, 상처를 심장보다 높게 하여 혈류량 감소로 쇼크를 예방합니다. 또한 붕대를 감아 지혈하고 감염을 예방합니다."
지도방법,응급처치,자동제세동기를 켜기전에 실시하여야할것,"환자에게 의식이 있는지 확인하고, 119에 신고한 뒤 주변 사람들과 접촉하지 않도록 합니다."
지도방법,응급처치,자동제세동기 전기 패드 부착후 사용시 주의사항은?,전기충격시 주변사람들에게 멀리떨어지라고 해야합니다 주변에 금속물질 있는지 확인해야하며 물과 땀이있으면 평평한곳으로 옮겨 물과 땀을 닦아주고 해야합니다
지도방법,응급처치,응급처치란,갑작스러운 질환의 발생이나 외상이 발생했을 때 긴급히 대응을 요하는 경우에 시행할 수 있는 처치
지도방법,응급처치,심폐소생술 하는법,"의식을 우선 확인한 후, 없는 경우 1명을 지목하여 119에 신고를 요청합니다. 환자의 명치 하부에 양 손을 대고 팔꿈치를 수직을 유지하여 수직 저항의 형태로 분당 100회의 속도로 하여 30회 세어가며 흉부 압박합니다. 이때 기도는 확보되어 있어야 합니다. 깊이는 5 6cm 정도로 압박합니다. 이를 제세동기가 올 때까지 지속합니다."
지도방법,응급처치,골절시(근골격계) 응급처치요령,근골격계 - rices / 골절시 - prices
지도방법,응급처치,3C란?,"3c란 check, call, care로 환자상태를 체크하고 구조대 신고하며 이후 환자를 지속적으로 케어하는것입니다"
지도방법,응급처치,드레싱을 하는 이유,"드레싱은 상처 보호와 감염 예방을 위해 사용됩니다. 흡수와 배출을 도와 상처를 깨끗하게 유지하며, 압력을 가해 출혈을 저지하고 상처를 안정시킵니다. 응급 상황에서 의료 전문가에 의해 적절히 사용되어야 합니다."
지도방법,응급처치,기도폐쇄란? 응급처치법은?,이물질이 막혀 기도가 막힌 것으로 부분 기도 폐쇄시 기침유발 빠지지 않을시 구조대 올 때까지 하임리히법 진행하면 됩니다. 완전 기도 폐쇄시 의식이 없을 경우 심폐소생술 진행하고 의식이 있을 경우 하임리히법 구조대 올 때 까지 진행합니다
지도방법,응급처치,심폐소생술 시 가슴 압박 하는 이유,뇌 혈류와 관상동맥 혈류의 유지 ? 조직으로의 신속한 산소 공급
지도방법,응급처치,쇼크종류,"저혈량성 쇼크 - 혈량 부족/심인성 쇼크 - 심장 수축력의 장애(심근경색, 심장수축부전 등)/아나필락틱 - 과민성 알레르기 반응/신경성 쇼크 - 청추손상, 저혈당, 스트레스/패혈성 쇼크 - 혈관 내 미생물 침입"
지도방법,응급처치,"심폐소생술 자세(깊이,속도)",5~6cm의 깊이로 1분에 100~120회 속도로 30회실시
규정,생활체육 개요,웰니스 설명,"웰니스란 해피니스, 피트니스, 웰빙(신체적 정신적 건강의 조화를 통해 행복한 삶을 추구하는 유형)이 합쳐진 말로 행복하고 건강하게 운동하자라는 의미를 담고 있습니다."
규정,생활체육 개요,학습권 침해,"선수가 무리한 훈련이나 합숙으로 인해 교육을 통한 인격적, 지적, 기능적 향상을 누릴 권리와 배움의 즐거움을 누릴 수 있는 권리가 침해되는 것을 말합니다. 수업결석, 학교행사배제, 질낮은 보충수업, 학업소홀, 보행훈수"
규정,생활체육 개요,생활 체육 지도의 목표,"건전한 여가 생활 선용, 건강 증진, 탐구 능력 향상, 시민 정신 향상, 협동 능력(정신) 향상"
규정,생활체육 개요,생활체육 프로그램이란?,나이 성별 구분없이 모든 사람과 집단들을 대상으로 생활체육의 전반적인 목표와 활동을 제공하는갓
규정,생활체육 개요,Sports for all?,"모든 사람을 위한 스포츠라는 개념으로 성별, 연령, 출신, 계층, 지위에 관계없이 전 생애에 걸쳐 누구나 자유 의지로 스포츠에 참가할 기회와 권리를 보장하는 체육개념"
규정,생활체육 개요,생활체육 프로그램 구성요소? 5가지,"구체적인 종목, 참가자, 지도자, 시설, 홍보계획, 재정"
규정,생활체육 개요,에어로빅 운동,"몸안에 산소를 충분히 하여 심폐기능을 촉진시키고 나아가 근력, 근지구력등 신체기능을 향상시키는 즐거움이 포함된 유산소운동"
규정,생활체육 개요,생체 5가지원리,"목적성, 개별성, 자발성, 창조성, 평가성입니다. "
규정,생활체육 개요,연령대별 생활체육 프로그램 목적과 차이 ,유아기 - 인지기능 발달 놀이중심의 체육활동/아동기 - 사회성 발달 다양한 체육활동 경험 제공/청소년기 - 2차 성징 발현기 평생체육의 기틀을 마련/성인기 - 신체 정신적 성숙기 유산소와 저항운동의 적절한 조화/노년기 - 신체 정신적 노화발현 활동형 레크레이션 권장
규정,생활체육 개요,fitness 개념,"인간의 일상생활을 더욱 윤택하게 영위하게 하는 근원으로, 균형잡힌 건강한 신체를 만들기 위한 운동입니다."
규정,생활체육 개요,생활체육지도 목적,"건전한 여가생활, 건강과 체력의 증진, 탐구정신, 시민정신, 협동정신의 배양"
규정,생활체육 개요,생활체육의 사회적 생리적 신체적 기능,사회적 기능- 더불어 보디빌딩을 수행하며 사회성을 발달시킨다./생리적 기능- 육체의 대사기능 등 생리활동을 활성화시키는데 기여한다./심리적 기능- 정신적 안정과 심리적인 편안함을 불러오는 데 도움을 준다.
규정,생활체육 개요,프로그램 기획단계,"협회의철학이해, 요구조사, 프로그램 목표설정, 프로그램계획, 실행 평가 보안"
규정,생활체육 개요,트레이닝 요소 5가지,"목적, 강도, 시간, 빈도, 형태 "
규정,생활체육 개요,트레이닝 원리,"점진적, 과부하, 반복성, 개별성, 특이성"
규정,생활체육 개요,생활체육의 목표,체육 내용의 다양화/체육활동의 생활화/체육 방법의 합리화/체육 환경의 복지화
규정,생활체육 개요,생활체육의 본질,활동 그 자체의 즐거움과 기쁨을 말합니다.
규정,생활체육 개요,생활체육의 지도 원리에 대해 설명하시오,평가원리/창조원리/계통성원리/사회화원리/반복연습원리/목적성의원리/개성화의원리(평창계사자 반목개)
규정,생활체육 개요,체력검사의 필요성,"성별,나이대별로 체력기준을 알아야지 건강상태 등을 확인할수있다"
규정,생활체육 개요,생활체육지도사의 필요성,국민의체력건강증진을 목적으로 많은 체육지도자가 필요하다
규정,스포츠 인권,성폭력이란 무엇인가,"상대 의사에 반해 이뤄지는 모든 가해행위로 성추행, 성희롱, 성폭행을 포함하는 포괄적 개념입니다.  스포츠영역에서는 지도자 및 선수가 힘과 권력을 이용하여 성적인 피해를 가하는 것을 말합니다"
규정,스포츠 인권,스포츠 성폭력,스포츠인이 자신의 지휘와 권력을 이용하여 피해자의 언어적?정신적?신체적 성적 자기 결정권을 침해하는 행위
규정,스포츠 인권,스포츠 폭력 유형,"스포츠인의 영역에서의 폭력으로 자신의일을 타인에게 전가하는것, 훈련방법이나 시간등을 임의로 변경하는것, 공동생활규칙을 어기는것, 체벌이나 기합을 주는것 등이있다"
규정,스포츠 인권,스포츠 성폭력 예방 ,"성폭력 예방 정책을 수립하고, 대상별 행동규범을 마련하며 에방교육을 실시합니다. 지도자 자격을 검증하고 여성지도자를 양성하고 지원하며 신고절차와 대응체계를 마련합니다."
규정,스포츠 인권,성폭력 대처 방안 4가지 이상,"피해자와 가해자를 즉시분리, 사건알림, 치료 및 증거확보 사건조사 / 거시적 대책 1. 대응 매뉴얼 및 제도 마련 2. 지도자 검증 3. 주기적인 재교육 4. 여성 지도자 육성"
규정,스포츠 인권,성폭력의 종류,성희롱 성추행 강제추행 성폭행 
규정,스포츠 인권,성그루밍이란,가해자가 피해자와 친분을 쌓아 심리적 지배한후 성적인 가해행위를 하는 것을 말합니다
규정,스포츠 인권,스포츠폭력 예방방법에 대해 4가지,과도한 훈련 금지. 시간준수. 훈련시간 및 방법 임의변경하지 않기. 기합 및 체벌금지
규정,스포츠 인권,대학교에서 성폭력 신고절차,가해자와 피해자 분리. 사건발생 알림. 치료 및 증거확보. 사건조사. 치료 및 회복
규정,웨이트트레이닝,다중관절운동 단순관절 운동 각각 설명하고 예시,단순관절은 하나의 관절 움직임을 말하는 것으로 레그익스텐션이 있고 다중관절은 두개 이상의 관절을 사용하는 움직임을 말하며 스쿼트가 있습니다
규정,종목소개,여자 피지크 종목의 평가방식,"예선라운드-4개 규정포즈/예선 1라운드-쿼터턴, 쿼터턴 및 4개규정포즈 비교심사/결선 2라운드-쿼터턴, 규정포즈, 비교심사 및 포즈다운/결선 3라운드-개인별 포징 루틴 60초"
규정,종목소개,남자 피지크 경기진행순서,예선라운드 - 쿼터턴/예선 1라운드 - 쿼터턴 및 비교심사/결선 2라운드 - 쿼터턴 2회 (번호 순서대로 하고 역순으로 실시)
규정,종목소개,보디빌딩 결선과정 설면,결선 2라운드 - 7가지의 규정포즈 2회 및 포즈 다운 실시/결선 3라운드 - 개인별 자유포즈 60초입니다.
규정,종목소개,남자 피지크 예선 진행순서,예선라운드 - 쿼터 턴/예선 1라운드 - 쿼터 턴 및 쿼터턴 비교심사
규정,종목소개,남자 피지크 반바지규정 ,"불투명한 루즈 핏 보드 반바지, 다리 위쪽을 다 덮어야하며, 무릎의 위쪽 지점까지 내려와야 합니다."
규정,종목소개,클래식 보디빌딩 결선 경기 진행,"결선 제 2라운드 쿼터턴, 7개의 규정포즈 및 포즈다운/결선 제 3라운드 개인별 자유포즈 60초"
규정,종목소개,보디빌딩 지도자가 받아야 하는 교육,"인성교육, 도핑방지 예방교육, 성폭력 교육, 리더쉽교육"
규정,종목소개,남성 클래식피지크 예선 진행 순서 ,선수는 2열로 선 뒤 무대 가장자리에 일렬로 섭니다. 이때 무대 양 끝단의 선수의 수는 동일하게 서야 합니다. 이후 1명씩 무대 중앙으로 나와 4개의 규정포즈를 시행합니다. 예선 라운드에서 최종적으로 15명이 예선 1라운드에 진출합니다.
규정,종목소개,여자 피지크 복장규정,"대둔근의 1/2 이상을 가리는 비키니여야하며 끈 비키니는 안됨, 신발 착용 금지, 과도한 오일 및 지워질 수 있는 탄 사용 금지"
규정,종목소개,비키니 복장 규정,불투명한 일반비키니이며 끈비키니는 금지됩니다.대둔근의 1/3을 가리며 전면부를 가립니다.힐은 압굽 1cm 뒷굽 12cm이며 과도한 오일은 사용불가입니다. 결혼반지 팔찌 목걸이를 제외한 악세사리는 착용불가능합니다
규정,종목소개,클래식 보디빌딩 예선,"클보 규정포즈 4개, 규정포즈 4개, 규정포즈7개, 쿼터턴 비교심사"
규정,종목소개,2020년 올림픽 아젠다 5가지,평등과 비차별/생계 및 양질의 일자리/발언의 자유/안전과 복지 /사생활보호(평생발안사) 
규정,종목소개,여자피지크 심사기준?,"전체적인 체격 및 근육의 대칭과 비율 , 무대위 자신감과 유아함을 평가하며 여자보디빌딩보다 근육이 많아선 안되고 체지방이 적어서듀 안되며 셀룰라이트가 있으면 감점요인이 됩니다   "
규정,종목소개,보디빌딩 남자 규정이뭔지 (복장포함),전면을 다 가리고 대둔근의 3/4을 가리는 단색의 트렁크로 옆면은 1cm 이상. 악세사리는 결혼반지를 제외한 나머지는 착용 불가. 대퇴부를 더 보이게 하기위해 트렁크를 위로 올리는 행위 금지
규정,종목소개,보디빌딩 수상자가 경기가 끝난후 결격사유에 대해 말해보시오,자기 성적에 불만을 표현하거나 시상식에서 먼저 자리를 뜨거나 사진찍기를 거뷰한 자
