question,answer
hdl 콜레스테롤이란?,"콜레스테롤은 모든 동물 세포의 세포막에서 발견되는 지질이며 혈액을 통해 운반된다. HDL과 LDL이 있는데, HDL은 고밀도 지질단백질로 혈액 내 콜레스테롤 수치를 감소 시켜 심장질환의 위험을 감소시킨다."
발살바호흡의 장단점,발살바 호흡법은 복부에 공기를 가득 채운 후 숨을 참아 복압을 높여서 몸통의 지지력 을 향상시키는 호흡법으로 고중량 운동을 실시할 때 사용하는 것이 좋다. 하지만 급격한 혈압 상승으로 인한 안과 질환 뇌질환 등의 위험성이 있으므로 조심해야한다.
운동중 수분섭취 이유,운동중에는 평소보다 땀으로 배출되는 수분의 양의 늘어나 몸 안의 수분이 부족하게되어 수분섭취가 필요하다.
근력운동 전 당섭취에 대해 설명,"포도당은 근력운동의 주 에너지원이며, 운동 직전의 섭취는 소화에 사용되기에 운동 수행에 방해가 될 수 있다."
근력운동 후 영양섭취에 대해 설명,고강도 부하운동 후 인체는 회복을 위해 영양소의 흡수율이 높아지게 되는데 때문에 운동 후 적절한 영양소 섭취는 근육의 성장과 치유를 돕고 운동 효과를 최대화할 수 있어 가능한 빨리 탄수화물과 단백질을 섭취하는 것이 좋다.
카보 로딩에 대해 설명하시오.,글리코겐의 체내 저장량을 증가시키는 방법으로 탄수화물의 섭취를 제한한 후 운동을 통해 체내의 글리코겐을 고갈신킨 다음 다시 많은 탄수화물을 섭취하여 간과 근육에글리코겐 저장량을 늘릴 수 있습니다.
남자 피지크 복장규정,반바지는 깔끔하고 단정해야하고 투명하면 안됨. 다리 위쪽을 다 덮고 달라붙지 않으 며 신축성이 좋아야 함. 개인 스폰서 로고는 안되고 제조사 로고는 가능. 트렁크 안쪽 에 패드를 넣으면 안됨. 결혼반지를 제외한 악세서리와 소품 금지.
여자 피지크 복장규정,"대둔근의 1/2을 가리는 비키니를 입으며 신발을 착용하지 않고, 비키니는 투명하지 않아야 하며, 색상이나 질감은 재랑. 끈으로 된 비키니는 금지. 장신구는 결혼반지, 팔찌 귀걸이 가능."
여자 비키니 복장규정,"대둔근의 1/3을 가리는 비키니를 입으며 힐을 착용하고, 비키니는 투명하지 않아야 하 며, 색상이나 질감은 재랑. 끈으로 된 비키니는 금지. 장신구는 결혼반지, 팔찌 귀걸이 가능."
남자 피지크 경기진행방식,"예선은 쿼터턴, 예선1라운드는 쿼터턴 및 비교심사,결선2라운드는 자유포즈 및 쿼터턴으로 진행됨."
여자 피지크 예선방법,"예선에서 4개 규정포즈, 예선 1라운드는 쿼터턴 및 규정포즈 비교심사"
보디빌딩 결선과정 설명,"보디빌딩 결선과정은 제2라운드, 제3라운드로 구성되어 4가지 규정포즈, 쿼터턴 및 7가지 규정포즈가 있고, 결선3라운드는 개인별 60초 자유포즈"
도핑방지를 위한 선수의 의무 2가지,"도핑 방지정책과 규정을 숙지하고 준수하여아 하며, 시료채취가 언제나 가능하도록하여야한다."
도핑적발시 자격정지 기간은?,"자격정지가 부관된 날로부터 계산하며, 첫번째 위반은 2~4년, 두번째 위반은 첫번째의 두배, 세번째 위반은 영구 자격정지"
스포츠대회 금지약물 투약기간은?,TUE신청서를 통해 사용가능 경기출전일 최소30일전사용
웰니스 운동,"웰니스는 웰빙, 행복, 건강의 합성어로 신체적, 정신적, 사회적 건강이 조화를 이루어이상적인 상태를 만들도록 하는 운동을 뜻한다."
에어로빅 운동,"에어로빅은 유산소 운동으로 심폐기능과 근지구력, 근력을 증가시켜주고 즐거움을 제공한다."
대보협 경기인 등록목적,"선수, 지도자, 심판의 등록과 활동등의 기준과 절차를 정하여 건전하고 효율적인 선수,지도자, 심판 육성과 체육의 균형발전을 도모함을 목적으로 함."
경기인의 등록방법,"경기인 등록 사이트에 등록을 신청하고, 등록신청서를 시 도지부에 제출하여 승인 받은 후 협회 승인이 완료되면 선수나 지도자 등록 완료."
경기인 등록기간,"엘리트 선수의 경우 상반기 4월 10일, 하반기 7월 10일~30일.신인, 동호인, 지도자, 심판, 선수관리담당자는 상시등록 가능"
경기인 등록구분중 대학생 등록 기준에 대해 설망하시오.,"대학교에 재학중인 학생이 등록하고, 생활체육목적으로 등록하는 20세 이상의 선수의경우 대학 재학중이더라도 일반부로 등록이 가능하다."
선수등록 결격사유,"스포츠공정위원회규정, 체육회 단체로부터 제명의 징계를 받은사람. 자격정지 징계를 받고 처분이 종료되지 않은 사람.금고 이상의 실형을 받고 5년이 경과하지 않은 사람.당해 동일종목 심판등록을 한 경우."
대한보디빌딩협회 선수 활동자격,협회가 인정한 대회만 출전가능하며 인정되지 않은 대회는 출전 불가.
스포츠폭력이란 무엇인가,"스포츠 영역에서 스포츠인에게 정신적, 신체적, 금전적 피해를 입히는 것."
성폭력이란 무엇인가,"지위와 힘의 차이를 이용하여 상대방이 원치 않는 성적행위를 하거나 하도록 강요, 협 박하는 행위.신체적, 정신적, 언어적 폭력을 말하며 강간, 성추행, 성희롱으로 구분."
스포츠 성폭력이란 무엇인가,스포츠 성폭력은 힘과 지위를 이용해 상대방이 원치 않은성적행위를 강요.협박.신체적.언어적 폭력을 행사하는 것.
스포츠성폭력 예방법 5가지,성적수치심을 주지 않는다. 신체접촉시 반드시 동의를 구한다. 친밀감 표현으로 신체접촉금지. 음담패설 금지.상담은 공적장소에서 한다.
스포츠성폭력 대처방안,"빠르게 가해자와 피해자를 분리하고 사건발생을 알립니다.피해자의 치료 및 증거를 확보하고, 사건을 조사한 후 재발 방지 교육을 진행합니다."
스포츠포올(Sports for all)이란?,"모든 사람을 위한 체육이라는 의미로, 여가시간을 활용하여 건강과 체력 증진을 위해 하는 체육활동으로 개인의 신체적, 정신적, 사회적 발달을 촉진하고, 공동체 의식을 향 상시키는 신체활동."
생활체육지도자의 자질,"도덕적 품성, 공정성, 의사전달능력, 활달하고 강인한 성격, 투철한 사명감, 칭찬의 미덕, 자기통제력"
생활체육지도자 기능,긍정적인 분위기를 조성하고 참가자의 동기유발과 참여를 유도하며동료의식을 강화하고 과업을 평가합니다.
생활체육 지도목표,"건강유지, 건전여가, 탐구능력, 시민유지, 협동정신"
스포츠 지도자 결격사유,체육협회 제명이나 징계를 받은 경우. 성폭력 및 폭력을 행사한 경우입니다.
지도자 인권침해 유형,학부모로부터 갑질 횡포를 당하는것과 경기실적을 빌미로 협박을 당하고폭력에대하여 잠재적 가해자로 대하는 행위를 말합니다.
생활체육 지도자의 유의사항,시간준수. 복장유의. 개인차고려. 공정성. 전문적 지식전달
지도자가 들어야할 교육,"스포츠 폭력 방지교육, 성폭력 방지교육 ,도핑 방지교육, 응급처치 교육리더쉽. 인성교육"
생활체육 프로그램의 개념,"광의의 개념은 시간적.공간적 제약을 극복하여 체육을 생활화 하는것이며,협의의 개념은 개인적.사회적 특성에 따라 진행한다."
생활체육 프로그램 구성원리,"평가성, 창조성, 평등성, 전문성, 다양성, 욕구반영성, 전달성, 보완성"
생활체육 프로그램 구성요소,지도자. 참가자. 시설. 구체적 종목. 재정. 홍보계획
프론트 더블 바이셉스 지도요령 (여자),한다리를 바깥쪽으로 빼고 하체에 힘을 준상태에서 양팔을 들어올려 손가락이 하늘을향하게 한후 최대한 많은 근육을 수축할수있게 표현하도록 지도합니다.
프론트 더블 바이셉스 지도요령 (남자),하체에 힘을 준상태에서 양팔을 들어올려이두근과 전완근이 부각 될 수 있도록 힘을줍니다.
프론트 랫 스프레드 지도요령 (남자),하체에 힘을 준상태에서 양팔을 옆구리에 올린상태에서전면 광배근이 부각 될 수 있도록 힘을줍니다.
사이드 체스트 지도요령 (남자),옆으로 선상태에서 앞쪽다리를 구부려 하체에 힘을 주고 양팔을 교차하여 상체를 정면으로 틀어주어 가슴근육 . 이두근 . 종아리가 부각 될 수 있도록 힘을줍니다.
백 더블 바이셉스 지도방법 (남자),"뒤돌아 선상태에서 한다리를 뒤로 뻣어 하체에 힘을 주고 양팔을 들어올려이두근. 등근육, 햄스트링. 종아리가 부각 될 수 있도록 힘을줍니다."
업도미널앤타이 지도요령 (남자),한다리를 앞으로 내밀고 하체에 힘을준 상태에서 양손을 겹친채 머리 뒤에 올려놓고복근과 허벅지가 부각 될 수 있도록 힘을줍니다.
덤벨 레터럴레이즈 지도요령,양손에 덤벨을 들고 선후 상체를 곧게 펴고 양팔을 옆으로 들어 올렸다 내렸다 반복합 니다. 이때 손이 팔꿈치보다 더 올라가지 않도록 지도하며 양팔을 올릴 때 숨을 내쉬고내릴 때 마시도록 지도합니다.
덤벨 프레스 지도요령,양손에 덤벨을 잡고 벤치에 누운후 가슴을 들고 허리를 아치형태로 만든다음 양팔꿈치를 구부리며 가슴을 늘렸다가 팔을 펴며 가슴을 수축하도록 지도합니다.이때 가슴을 늘릴 때 숨을 마쉬고 가슴을 수축할 때 숨을 내쉬게끔 지도합니다.
바벨컬 지도요령,바벨을 언더그립으로 어깨너비로 잡은후 팔꿈치를 구부렸다가 폈다가 반복합니다.이때 팔꿈치를 구부릴 때 숨을 내쉬고 펴는 동작에서 숨을 마쉽니다.
바벨로우 지도요령,바벨을 어깨너비로 잡고 다리를 약간 구부린 상태에서허리를 곧게 펴고 상체를 숙인다음 양팔을 배쪽으로 당겼다 내렸다 반복해줍니다. 이때 당기는 동작에서 숨을 내쉬고 내리는 동작에서 숨을 마쉬도록 지도합니다.
라잉 트라이셉스 익스텐션 지도방법,이지바나 스트레이트바를 어깨너비보다 좁게잡고 벤치에 누운후가슴을 들어주고 허리를 아치형태로 만들어준후 팔꿈치를 구부리며 머리쪽으로 내렸 다 올렸다 반복합니다. 이때 팔꿈치를 펴는 동작에서 숨을 내쉬고 접는 동작에서 숨을 마쉬도록 지도합니다.
백 익스텐션 지도방법,백 익스텐션 기구에서 대상자에 맞는 다리길이를 설정한후 발판에 아킬레스건을 단단히 지지하고 패드에 허벅지를 댄후 상체를 곧게펴고 허리가 무너지지않게 기립근에 힘을주며 상체를 내렸다 올렸다 반복합니다. 이때 내려갈 때 숨을 마쉬고 올라올 때 숨을 내쉬게끔 지도합니다.
레그레이즈 지도요령,천장을보고 누운후 양어깨와 등을 고정시킨다음양발이 바닥과 90도가 될정도로 다리를 올렸다 내렸다 반복합니다. 이때 다리를 올릴 때 숨을 내쉬고 내릴 때 숨을 마쉬도록 지도합니다.
프론트 스쿼트 지도방법,바벨을 쇄골과 어깨위에 얹은후 가슴과 팔꿈치를 들고 허리를 꼿꼿히 세운후 무릎이 발끝을 넘어가지않게 앉았다 일어났다 반복합니다.이때 앉을 때 숨을 마쉬고 일어설 때 숨을 내쉬게 지도합니다.
